image_id,filename,category,original_label,source_dataset,source_url,licence,synthetic_or_real,width,height,file_format,channels
IMG_037,baggage_claim_037.png,baggage_claim,baggage claim,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,400,400,PNG,3
IMG_163,transport_163.png,transport,transport,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,300,PNG,3
IMG_211,restaurant_211.png,restaurant,restaurant,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,512,PNG,3
IMG_030,baggage_claim_030.png,baggage_claim,baggage claim,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,400,PNG,3
IMG_024,gate_024.png,gate,gate,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,512,300,PNG,3
IMG_127,lounge_127.png,lounge,lounge,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,300,PNG,3
IMG_059,check_in_059.png,check_in,check in,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,512,512,PNG,3
IMG_222,restaurant_222.png,restaurant,restaurant,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,400,PNG,3
IMG_125,restroom_125.png,restroom,restroom,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,400,PNG,3
IMG_025,gate_025.png,gate,gate,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,512,PNG,3
IMG_180,information_desk_180.png,information_desk,information desk,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,512,PNG,3
IMG_208,restaurant_208.png,restaurant,restaurant,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,512,PNG,3
IMG_038,baggage_claim_038.png,baggage_claim,baggage claim,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,300,PNG,3
IMG_181,information_desk_181.png,information_desk,information desk,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,600,400,PNG,3
IMG_215,restaurant_215.png,restaurant,restaurant,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,512,400,PNG,3
IMG_153,transport_153.png,transport,transport,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,512,512,PNG,3
IMG_100,security_100.png,security,security,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,300,PNG,3
IMG_169,transport_169.png,transport,transport,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,400,PNG,3
IMG_091,security_091.png,security,security,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,300,PNG,3
IMG_041,baggage_claim_041.png,baggage_claim,baggage claim,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,300,PNG,3
IMG_005,gate_005.png,gate,gate,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,300,PNG,3
IMG_066,check_in_066.png,check_in,check in,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,300,PNG,3
IMG_031,baggage_claim_031.png,baggage_claim,baggage claim,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,600,300,PNG,3
IMG_143,lounge_143.png,lounge,lounge,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,600,300,PNG,3
IMG_046,baggage_claim_046.png,baggage_claim,baggage claim,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,512,512,PNG,3
IMG_003,gate_003.png,gate,gate,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,600,400,PNG,3
IMG_077,security_077.png,security,security,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,300,PNG,3
IMG_111,restroom_111.png,restroom,restroom,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,400,PNG,3
IMG_034,baggage_claim_034.png,baggage_claim,baggage claim,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,400,512,PNG,3
IMG_144,lounge_144.png,lounge,lounge,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,400,PNG,3
IMG_207,restaurant_207.png,restaurant,restaurant,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,300,PNG,3
IMG_052,check_in_052.png,check_in,check in,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,512,PNG,3
IMG_013,gate_013.png,gate,gate,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,300,PNG,3
IMG_191,information_desk_191.png,information_desk,information desk,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,300,PNG,3
IMG_105,restroom_105.png,restroom,restroom,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,512,PNG,3
IMG_083,security_083.png,security,security,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,300,PNG,3
IMG_142,lounge_142.png,lounge,lounge,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,512,PNG,3
IMG_011,gate_011.png,gate,gate,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,300,PNG,3
IMG_014,gate_014.png,gate,gate,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,300,PNG,3
IMG_196,information_desk_196.png,information_desk,information desk,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,600,300,PNG,3
IMG_139,lounge_139.png,lounge,lounge,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,512,PNG,3
IMG_214,restaurant_214.png,restaurant,restaurant,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,300,PNG,3
IMG_201,restaurant_201.png,restaurant,restaurant,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,512,PNG,3
IMG_076,security_076.png,security,security,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,300,PNG,3
IMG_120,restroom_120.png,restroom,restroom,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,300,PNG,3
IMG_056,check_in_056.png,check_in,check in,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,400,300,PNG,3
IMG_055,check_in_055.png,check_in,check in,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,300,PNG,3
IMG_190,information_desk_190.png,information_desk,information desk,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,512,300,PNG,3
IMG_150,lounge_150.png,lounge,lounge,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,300,PNG,3
IMG_008,gate_008.png,gate,gate,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,300,PNG,3
IMG_063,check_in_063.png,check_in,check in,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,512,PNG,3
IMG_184,information_desk_184.png,information_desk,information desk,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,600,512,PNG,3
IMG_166,transport_166.png,transport,transport,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,400,PNG,3
IMG_178,information_desk_178.png,information_desk,information desk,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,400,400,PNG,3
IMG_102,restroom_102.png,restroom,restroom,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,400,PNG,3
IMG_115,restroom_115.png,restroom,restroom,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,600,512,PNG,3
IMG_122,restroom_122.png,restroom,restroom,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,512,PNG,3
IMG_199,information_desk_199.png,information_desk,information desk,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,512,300,PNG,3
IMG_035,baggage_claim_035.png,baggage_claim,baggage claim,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,512,PNG,3
IMG_152,transport_152.png,transport,transport,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,300,PNG,3
IMG_022,gate_022.png,gate,gate,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,400,512,PNG,3
IMG_074,check_in_074.png,check_in,check in,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,400,300,PNG,3
IMG_183,information_desk_183.png,information_desk,information desk,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,512,512,PNG,3
IMG_162,transport_162.png,transport,transport,procedural_mockup,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,synthetic,512,400,PNG,3
IMG_010,gate_010.png,gate,gate,curated_open_signage,https://data.mendeley.com/datasets/airport-wayfinding,CC BY 4.0,real,600,400,PNG,3
