query_id,modality,reference_text,raw_text,true_intent,predicted_intent,intent_similarity,correct,uncertain
Q001,typed,Where is gate B12?,Where is gate B12?,gate,gate,0.5100886821746826,True,False
Q002,typed,How can I get to gate A7?,How can I get to gate A7?,gate,gate,0.50821453332901,True,False
Q003,typed,Which terminal has gate C15?,Which terminal has gate C15?,gate,gate,0.4850001931190491,True,False
Q004,typed,Please tell me the direction to gate B4.,Please tell me the direction to gate B4.,gate,gate,0.5459473133087158,True,False
Q005,typed,Where can I find boarding gate A12?,Where can I find boarding gate A12?,gate,gate,0.6202337741851807,True,False
Q006,typed,Is gate C8 on the upper floor?,Is gate C8 on the upper floor?,gate,gate,0.45002931356430054,True,False
Q007,typed,How do I reach gate D10?,How do I reach gate D10?,gate,gate,0.4992685914039612,True,False
Q008,typed,Where is my departure gate B6?,Where is my departure gate B6?,gate,gate,0.6624007821083069,True,False
Q009,typed,Can you help me find gate A3?,Can you help me find gate A3?,gate,gate,0.5374000072479248,True,False
Q010,typed,How do I get to baggage claim?,How do I get to baggage claim?,baggage_claim,baggage_claim,0.5708637237548828,True,False
Q011,typed,Where can I collect my luggage?,Where can I collect my luggage?,baggage_claim,baggage_claim,0.6210556626319885,True,False
Q012,typed,Which carousel is for the flight from London?,Which carousel is for the flight from London?,baggage_claim,baggage_claim,0.4155609607696533,True,False
Q013,typed,Is baggage claim on the ground floor?,Is baggage claim on the ground floor?,baggage_claim,intent_uncertain,0.33017605543136597,False,True
Q014,typed,Where is the oversized baggage area?,Where is the oversized baggage area?,baggage_claim,intent_uncertain,0.39574700593948364,False,True
Q015,typed,How do I find baggage belt 4?,How do I find baggage belt 4?,baggage_claim,baggage_claim,0.49223199486732483,True,False
Q016,typed,Can you point me to the luggage collection zone?,Can you point me to the luggage collection zone?,baggage_claim,baggage_claim,0.4942783713340759,True,False
Q017,typed,Where do I pick up my bags?,Where do I pick up my bags?,baggage_claim,baggage_claim,0.5270142555236816,True,False
Q018,typed,I need to find the baggage hall.,I need to find the baggage hall.,baggage_claim,baggage_claim,0.5344186425209045,True,False
