query_id,query,intent,source,tokens,token_count,clean_tokens,gate_number,terminal_number,time,airline,service_name,location,has_audio,audio_file
Q001,Where is gate B12?,gate,synthetic,"['where', 'is', 'gate', 'b12', '?']",5,"['gate', 'b12']",B12,,,,,,no,
Q002,How can I get to gate A7?,gate,synthetic,"['how', 'can', 'i', 'get', 'to', 'gate', 'a7', '?']",8,"['get', 'gate', 'a7']",A7,,,,,,yes,gate_Q002.wav
Q003,Which terminal has gate C15?,gate,synthetic,"['which', 'terminal', 'has', 'gate', 'c15', '?']",6,"['terminal', 'gate', 'c15']",C15,,,,,,yes,gate_Q003.wav
Q004,Please tell me the direction to gate B4.,gate,synthetic,"['please', 'tell', 'me', 'the', 'direction', 'to', 'gate', 'b4', '.']",9,"['please', 'tell', 'direction', 'gate', 'b4']",B4,,,,,,no,
Q005,Where can I find boarding gate A12?,gate,synthetic,"['where', 'can', 'i', 'find', 'boarding', 'gate', 'a12', '?']",8,"['find', 'boarding', 'gate', 'a12']",A12,,,,,,no,
Q006,Is gate C8 on the upper floor?,gate,synthetic,"['is', 'gate', 'c8', 'on', 'the', 'upper', 'floor', '?']",8,"['gate', 'c8', 'upper', 'floor']",C8,,,,,upper floor,no,
Q007,How do I reach gate D10?,gate,synthetic,"['how', 'do', 'i', 'reach', 'gate', 'd10', '?']",7,"['reach', 'gate', 'd10']",D10,,,,,,yes,gate_Q007.wav
Q008,Where is my departure gate B6?,gate,synthetic,"['where', 'is', 'my', 'departure', 'gate', 'b6', '?']",7,"['departure', 'gate', 'b6']",B6,,,,,,yes,gate_Q008.wav
Q009,Can you help me find gate A3?,gate,synthetic,"['can', 'you', 'help', 'me', 'find', 'gate', 'a3', '?']",8,"['help', 'find', 'gate', 'a3']",A3,,,,,,no,
Q010,How do I get to baggage claim?,baggage_claim,synthetic,"['how', 'do', 'i', 'get', 'to', 'baggage', 'claim', '?']",8,"['get', 'baggage', 'claim']",,,,,baggage claim,,yes,baggage_claim_Q010.wav
Q011,Where can I collect my luggage?,baggage_claim,synthetic,"['where', 'can', 'i', 'collect', 'my', 'luggage', '?']",7,"['collect', 'luggage']",,,,,,,yes,baggage_claim_Q011.wav
Q012,Which carousel is for the flight from London?,baggage_claim,synthetic,"['which', 'carousel', 'is', 'for', 'the', 'flight', 'from', 'london', '?']",9,"['carousel', 'flight', 'london']",,,,,,,no,
Q013,Is baggage claim on the ground floor?,baggage_claim,synthetic,"['is', 'baggage', 'claim', 'on', 'the', 'ground', 'floor', '?']",8,"['baggage', 'claim', 'ground', 'floor']",,,,,baggage claim,ground floor,no,
Q014,Where is the oversized baggage area?,baggage_claim,synthetic,"['where', 'is', 'the', 'oversized', 'baggage', 'area', '?']",7,"['oversized', 'baggage', 'area']",,,,,,oversized baggage,no,
Q015,How do I find baggage belt 4?,baggage_claim,synthetic,"['how', 'do', 'i', 'find', 'baggage', 'belt', '4', '?']",8,"['find', 'baggage', 'belt', '4']",,,,,,,yes,baggage_claim_Q015.wav
Q016,Can you point me to the luggage collection zone?,baggage_claim,synthetic,"['can', 'you', 'point', 'me', 'to', 'the', 'luggage', 'collection', 'zone', '?']",10,"['point', 'luggage', 'collection', 'zone']",,,,,,,no,
Q017,Where do I pick up my bags?,baggage_claim,synthetic,"['where', 'do', 'i', 'pick', 'up', 'my', 'bags', '?']",8,"['pick', 'bags']",,,,,,,yes,baggage_claim_Q017.wav
Q018,I need to find the baggage hall.,baggage_claim,synthetic,"['i', 'need', 'to', 'find', 'the', 'baggage', 'hall', '.']",8,"['need', 'find', 'baggage', 'hall']",,,,,,,no,
Q019,Where is the check in desk for international flights?,check_in,synthetic,"['where', 'is', 'the', 'check', 'in', 'desk', 'for', 'international', 'flights', '?']",10,"['check', 'desk', 'international', 'flights']",,,,,,,yes,check_in_Q019.wav
Q020,How do I find the Lufthansa check-in?,check_in,synthetic,"['how', 'do', 'i', 'find', 'the', 'lufthansa', 'check-in', '?']",8,"['find', 'lufthansa', 'check-in']",,,,LUFTHANSA,check-in,,yes,check_in_Q020.wav
Q021,Is there a self-service check-in kiosk here?,check_in,synthetic,"['is', 'there', 'a', 'self-service', 'check-in', 'kiosk', 'here', '?']",8,"['self-service', 'check-in', 'kiosk']",,,,,check-in,,no,
Q022,Where do I drop my bags for check-in?,check_in,synthetic,"['where', 'do', 'i', 'drop', 'my', 'bags', 'for', 'check-in', '?']",9,"['drop', 'bags', 'check-in']",,,,,check-in,,yes,check_in_Q022.wav
Q023,Which counter is for Emirates check-in?,check_in,synthetic,"['which', 'counter', 'is', 'for', 'emirates', 'check-in', '?']",7,"['counter', 'emirates', 'check-in']",,,,EMIRATES,check-in,,no,
Q024,Can you direct me to the check-in area?,check_in,synthetic,"['can', 'you', 'direct', 'me', 'to', 'the', 'check-in', 'area', '?']",9,"['direct', 'check-in', 'area']",,,,,check-in,,yes,check_in_Q024.wav
Q025,Are the check-in desks open for the 14:30 flight?,check_in,synthetic,"['are', 'the', 'check-in', 'desks', 'open', 'for', 'the', '14:30', 'flight', '?']",10,"['check-in', 'desks', 'open', '14:30', 'flight']",,,14:30,,check-in,,no,
Q026,Where is the first class check-in?,check_in,synthetic,"['where', 'is', 'the', 'first', 'class', 'check-in', '?']",7,"['first', 'class', 'check-in']",,,,,check-in,first class,no,
Q027,I need to check in my luggage.,check_in,synthetic,"['i', 'need', 'to', 'check', 'in', 'my', 'luggage', '.']",8,"['need', 'check', 'luggage']",,,,,,,no,
Q028,Is there a lounge near terminal 2?,lounge,synthetic,"['is', 'there', 'a', 'lounge', 'near', 'terminal', '2', '?']",8,"['lounge', 'near', 'terminal', '2']",,2,,,lounge,,no,
Q029,Where is the British Airways lounge?,lounge,synthetic,"['where', 'is', 'the', 'british', 'airways', 'lounge', '?']",7,"['british', 'airways', 'lounge']",,,,BRITISH AIRWAYS,lounge,,no,
Q030,How do I get to the VIP lounge?,lounge,synthetic,"['how', 'do', 'i', 'get', 'to', 'the', 'vip', 'lounge', '?']",9,"['get', 'vip', 'lounge']",,,,,lounge,vip,yes,lounge_Q030.wav
Q031,Is the business lounge open right now?,lounge,synthetic,"['is', 'the', 'business', 'lounge', 'open', 'right', 'now', '?']",8,"['business', 'lounge', 'open', 'right']",,,,,lounge,business,no,
Q032,Where can I find a priority pass lounge?,lounge,synthetic,"['where', 'can', 'i', 'find', 'a', 'priority', 'pass', 'lounge', '?']",9,"['find', 'priority', 'pass', 'lounge']",,,,,lounge,priority pass,no,
Q033,Can you direct me to the premium lounge?,lounge,synthetic,"['can', 'you', 'direct', 'me', 'to', 'the', 'premium', 'lounge', '?']",9,"['direct', 'premium', 'lounge']",,,,,lounge,,yes,lounge_Q033.wav
Q034,Which floor is the executive lounge on?,lounge,synthetic,"['which', 'floor', 'is', 'the', 'executive', 'lounge', 'on', '?']",8,"['floor', 'executive', 'lounge']",,,,,lounge,,no,
Q035,Are there any lounges in concourse C?,lounge,synthetic,"['are', 'there', 'any', 'lounges', 'in', 'concourse', 'c', '?']",8,"['lounges', 'concourse', 'c']",,,,,lounge,concourse c,yes,lounge_Q035.wav
Q036,How much does it cost to enter the lounge?,lounge,synthetic,"['how', 'much', 'does', 'it', 'cost', 'to', 'enter', 'the', 'lounge', '?']",10,"['much', 'cost', 'enter', 'lounge']",,,,,lounge,,yes,lounge_Q036.wav
