query_id,intent,original_audio_file,processed_audio_file,original_sample_rate,processed_sample_rate,original_channels,processed_channels,original_duration,processed_duration,trimmed,preprocessing_method
Q002,gate,gate_Q002.wav,gate_Q002.wav,24000,16000,1,1,2.472,1.952,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q003,gate,gate_Q003.wav,gate_Q003.wav,24000,16000,1,1,3.072,2.656,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q007,gate,gate_Q007.wav,gate_Q007.wav,24000,16000,1,1,2.472,1.984,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q008,gate,gate_Q008.wav,gate_Q008.wav,24000,16000,1,1,2.928,2.24,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q010,baggage_claim,baggage_claim_Q010.wav,baggage_claim_Q010.wav,24000,16000,1,1,2.4,1.888,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q011,baggage_claim,baggage_claim_Q011.wav,baggage_claim_Q011.wav,24000,16000,1,1,2.52,2.048,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q015,baggage_claim,baggage_claim_Q015.wav,baggage_claim_Q015.wav,24000,16000,1,1,2.76,2.272,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q017,baggage_claim,baggage_claim_Q017.wav,baggage_claim_Q017.wav,24000,16000,1,1,2.352,1.696,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q019,check_in,check_in_Q019.wav,check_in_Q019.wav,24000,16000,1,1,3.6,2.912,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q020,check_in,check_in_Q020.wav,check_in_Q020.wav,24000,16000,1,1,3.048,2.528,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q022,check_in,check_in_Q022.wav,check_in_Q022.wav,24000,16000,1,1,2.808,2.336,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q024,check_in,check_in_Q024.wav,check_in_Q024.wav,24000,16000,1,1,2.76,2.208,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q030,lounge,lounge_Q030.wav,lounge_Q030.wav,24000,16000,1,1,2.88,2.368,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q033,lounge,lounge_Q033.wav,lounge_Q033.wav,24000,16000,1,1,2.88,2.272,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q035,lounge,lounge_Q035.wav,lounge_Q035.wav,24000,16000,1,1,2.88,2.4,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q036,lounge,lounge_Q036.wav,lounge_Q036.wav,24000,16000,1,1,3.0,2.496,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q038,transport,transport_Q038.wav,transport_Q038.wav,24000,16000,1,1,2.52,1.92,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q042,transport,transport_Q042.wav,transport_Q042.wav,24000,16000,1,1,2.64,2.208,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q044,transport,transport_Q044.wav,transport_Q044.wav,24000,16000,1,1,3.0,2.464,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q045,transport,transport_Q045.wav,transport_Q045.wav,24000,16000,1,1,2.232,1.824,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q047,information_desk,information_desk_Q047.wav,information_desk_Q047.wav,24000,16000,1,1,4.152,3.68,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q050,information_desk,information_desk_Q050.wav,information_desk_Q050.wav,24000,16000,1,1,3.432,2.848,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q051,information_desk,information_desk_Q051.wav,information_desk_Q051.wav,24000,16000,1,1,2.88,2.08,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q054,information_desk,information_desk_Q054.wav,information_desk_Q054.wav,24000,16000,1,1,2.832,2.304,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q055,flight_delay,flight_delay_Q055.wav,flight_delay_Q055.wav,24000,16000,1,1,1.848,1.376,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q057,flight_delay,flight_delay_Q057.wav,flight_delay_Q057.wav,24000,16000,1,1,3.6,3.104,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q061,flight_delay,flight_delay_Q061.wav,flight_delay_Q061.wav,24000,16000,1,1,3.288,2.784,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q063,flight_delay,flight_delay_Q063.wav,flight_delay_Q063.wav,24000,16000,1,1,3.168,2.656,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q064,security,security_Q064.wav,security_Q064.wav,24000,16000,1,1,2.592,2.144,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q066,security,security_Q066.wav,security_Q066.wav,24000,16000,1,1,3.0,2.464,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q069,security,security_Q069.wav,security_Q069.wav,24000,16000,1,1,3.432,2.944,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
Q070,security,security_Q070.wav,security_Q070.wav,24000,16000,1,1,3.432,2.976,True,16kHz Mono Resample + librosa.effects.trim(top_db=20)
