record_id,name,category,terminal,floor_zone,description,opening_hours,direction,accessibility,related_facilities,emergency_assistance_contact,search_terms
KB001,Gate B12,gate,Terminal 2,Level 1 - Zone B,Departure gate B12 for Nova International Airport domestic and short-haul flights.,Open 24 hours,"After Terminal 2 security, turn right and walk to the end of the blue corridor.","Step-free access, wheelchair seating available.","Restroom Terminal 2, Airport Lounge",Simulated Airport Assistance Desk - Extension 101,"gate B12, B12, boarding gate, departure gate, gate"
KB002,Gate A7,gate,Terminal 1,Level 2 - Zone A,Departure gate A7 for long-haul international flights.,Open 24 hours,Take the escalator to Level 2 after Duty Free and follow the yellow signs.,"Accessible lift nearby, tactile paving.","Restroom Terminal 1, Restaurant Area",Simulated Airport Assistance Desk - Extension 102,"gate A7, A7, boarding gate, departure gate, gate"
KB003,Terminal 1 Check-in Area,check_in,Terminal 1,Ground Floor - Main Hall,Standard and self-service check-in desks for Terminal 1 airlines.,04:00 AM - 11:30 PM,Located directly opposite the main entrance doors of Terminal 1.,Low-level check-in counters available.,"Information Desk, Oversized Baggage Service",Simulated Operations - Extension 201,"check-in, check in desk, bag drop, ticket counter, boarding pass"
KB004,Terminal 2 Check-in Area,check_in,Terminal 2,Ground Floor - East Wing,Check-in area primarily serving budget and regional airlines.,04:00 AM - 10:00 PM,Enter Terminal 2 and follow signs for East Wing departures.,"Visual signage available, hearing loop installed.",Special Assistance Desk,Simulated Operations - Extension 202,"check-in, check in area, bag drop, luggage check"
KB005,Baggage Claim Hall,baggage_claim,Terminal 1,Ground Floor - Arrivals,Main luggage collection area featuring carousels 1 through 8.,Open 24 hours,Follow the 'Arrivals & Baggage' signs immediately after Passport Control.,"Spacious corridors, accessible trolley points.","Lost and Found Office, Customs Area",Simulated Baggage Services - Extension 301,"baggage claim, luggage, bags, baggage hall, carousel, collection"
KB006,Oversized Baggage Service,baggage_claim,Terminal 1,Ground Floor - Main Hall,"Drop-off and collection point for sports equipment, pets, and oversized luggage.",05:00 AM - 11:00 PM,Located adjacent to Carousel 8 in the Arrivals Hall.,"Wide access doors, ramped entry.",Terminal 1 Check-in Area,Simulated Baggage Services - Extension 302,"oversized baggage, large luggage, sports equipment, odd size baggage"
KB007,Security Control Terminal 1,security,Terminal 1,Level 1 - Central,Main security screening point for Terminal 1 departures.,Open 24 hours,Proceed up the central escalators from the check-in hall.,Dedicated fast-track and wheelchair-accessible screening lane.,Terminal 1 Check-in Area,Simulated Security Command - Extension 401,"security, security checkpoint, screening, metal detector"
KB008,Security Control Terminal 2,security,Terminal 2,Ground Floor - Central,Security screening point for Terminal 2 regional departures.,04:30 AM - 11:00 PM,Located directly behind the Terminal 2 check-in desks.,Step-free access through all lanes.,Terminal 2 Check-in Area,Simulated Security Command - Extension 402,"security, security control, screening"
KB009,Information Desk,information_desk,Terminal 1,Ground Floor - Main Hall,Central customer service and general airport inquiries desk.,06:00 AM - 10:00 PM,Situated in the exact center of the Terminal 1 main concourse.,"Lowered desk sections, hearing loop available.","Special Assistance Desk, Terminal 1 Check-in Area",Simulated General Help - Extension 501,"information desk, help desk, customer service, assistance"
KB010,Lost and Found Office,lost_and_found,Terminal 1,Ground Floor - Arrivals,Office for reporting and collecting misplaced items within the airport.,08:00 AM - 08:00 PM,"Located in the Arrivals hall, next to the exit doors.",Wheelchair accessible.,"Baggage Claim Hall, Information Desk",Simulated Lost Property - Extension 502,"lost and found, lost property, missing item"
KB011,Airport Lounge,lounge,Terminal 1,Level 2 - Zone A,"Premium waiting area with complimentary food, Wi-Fi, and seating.",05:00 AM - 11:30 PM,"After security, take the lift to Level 2 and follow signs for VIP Lounges.","Accessible lift, accessible restrooms inside.","Gate A7, Restroom Terminal 1",Simulated Lounge Reception - Extension 601,"lounge, vip lounge, business lounge, premium lounge, priority pass"
KB012,Prayer Room,prayer_room,Terminal 2,Level 1 - Quiet Zone,Multi-faith prayer and meditation room for passenger use.,Open 24 hours,"Next to Gate B4, follow the signs for 'Quiet Area'.","Step-free access, dedicated ablution facilities.",Gate B12,Simulated General Help - Extension 501,"prayer room, chapel, meditation room, multi-faith"
KB013,Restroom Terminal 1,restroom,Terminal 1,Level 1 - Central,Public restrooms including baby changing facilities.,Open 24 hours,Located immediately after Security Control on the left.,Dedicated accessible cubicles with grab rails.,Security Control Terminal 1,Simulated Facilities - Extension 701,"restroom, toilet, bathroom, wc, washroom, baby changing"
KB014,Restroom Terminal 2,restroom,Terminal 2,Level 1 - Zone B,Public restrooms near the departure gates.,Open 24 hours,Opposite Gate B12.,Dedicated accessible cubicles.,Gate B12,Simulated Facilities - Extension 702,"restroom, toilet, bathroom, wc"
KB015,Train Station Connection,transport,Terminal 1,Basement Level,Direct connection to the city metro and regional rail networks.,05:00 AM - 01:00 AM,Take the main elevator down to the basement from the Arrivals hall.,"Elevator access, tactile paving to platforms.",Information Desk,Simulated Transport Police - Extension 801,"train, metro, subway, railway, train station, transport"
KB016,Taxi Pickup Zone,transport,Terminal 1,Exterior - Arrivals Level,Official airport taxi rank and ride-share pickup zone.,Open 24 hours,Exit the main doors from Baggage Claim and cross the first pedestrian crossing.,"Dropped curbs, wheelchair-accessible taxis available on request.",Baggage Claim Hall,Simulated Transport Office - Extension 802,"taxi, cab, uber, ride share, taxi rank, pickup, transport"
KB017,Restaurant Area,restaurant,Terminal 1,Level 2 - Food Court,"Food court featuring multiple cafes, fast food, and dining options.",06:00 AM - 11:00 PM,"Located above the departure lounge, accessible via the central escalators.","Elevator access, open seating layout.",Airport Lounge,Simulated Facilities - Extension 701,"restaurant, food, cafe, coffee, dining, eat"
KB018,Special Assistance Desk,special_assistance,Terminal 1,Ground Floor - Main Hall,Support desk for passengers requiring mobility assistance or other aid.,Open 24 hours,"Located immediately inside the main entrance of Terminal 1, on the right.","Fully accessible design, induction loop, low counters.","Information Desk, Terminal 1 Check-in Area",Simulated Medical/Assistance - Extension 999,"special assistance, wheelchair, help, mobility, disabled"
KB019,Passport Control,passport_control,Terminal 1,Ground Floor - Arrivals Corridor,Immigration and border control for arriving international passengers.,Open 24 hours,Follow the signs from the arrival gate down to the Ground Floor corridor.,Dedicated e-gates for wheelchair users.,Baggage Claim Hall,Simulated Border Force - Extension 901,"passport control, immigration, border control, passports"
KB020,Customs Area,customs,Terminal 1,Ground Floor - Exits,Customs declaration point (Red/Green channels) before exiting.,Open 24 hours,Located immediately after exiting the Baggage Claim Hall.,"Wide channels, step-free.","Baggage Claim Hall, Taxi Pickup Zone",Simulated Customs Office - Extension 902,"customs, declaration, red channel, green channel, nothing to declare"
