query_id,intent,modality,reference_text,raw_text,clean_text,tokens,stopword_filtered_tokens,gate_number,terminal_number,service_name,location,airline,time,split
Q001,gate,text,Where is gate B12?,Where is gate B12?,where is gate b12,"[""where"", ""is"", ""gate"", ""b12""]","[""where"", ""gate"", ""b12""]",B12,,,,,,val
Q002,gate,text,How can I get to gate A7?,How can I get to gate A7?,how can i get to gate a7,"[""how"", ""can"", ""i"", ""get"", ""to"", ""gate"", ""a7""]","[""how"", ""get"", ""gate"", ""a7""]",A7,,,,,,train
Q003,gate,text,Which terminal has gate C15?,Which terminal has gate C15?,which terminal has gate c15,"[""which"", ""terminal"", ""has"", ""gate"", ""c15""]","[""terminal"", ""gate"", ""c15""]",C15,,,,,,train
Q004,gate,text,Please tell me the direction to gate B4.,Please tell me the direction to gate B4.,please tell me the direction to gate b4,"[""please"", ""tell"", ""me"", ""the"", ""direction"", ""to"", ""gate"", ""b4""]","[""please"", ""tell"", ""direction"", ""gate"", ""b4""]",B4,,,,,,train
Q005,gate,text,Where can I find boarding gate A12?,Where can I find boarding gate A12?,where can i find boarding gate a12,"[""where"", ""can"", ""i"", ""find"", ""boarding"", ""gate"", ""a12""]","[""where"", ""find"", ""boarding"", ""gate"", ""a12""]",A12,,,,,,train
Q006,gate,text,Is gate C8 on the upper floor?,Is gate C8 on the upper floor?,is gate c8 on the upper floor,"[""is"", ""gate"", ""c8"", ""on"", ""the"", ""upper"", ""floor""]","[""gate"", ""c8"", ""upper"", ""floor""]",C8,,,,,,train
Q007,gate,text,How do I reach gate D10?,How do I reach gate D10?,how do i reach gate d10,"[""how"", ""do"", ""i"", ""reach"", ""gate"", ""d10""]","[""how"", ""reach"", ""gate"", ""d10""]",D10,,,,,,train
Q008,gate,text,Where is my departure gate B6?,Where is my departure gate B6?,where is my departure gate b6,"[""where"", ""is"", ""my"", ""departure"", ""gate"", ""b6""]","[""where"", ""departure"", ""gate"", ""b6""]",B6,,,,,,train
Q009,gate,text,Can you help me find gate A3?,Can you help me find gate A3?,can you help me find gate a3,"[""can"", ""you"", ""help"", ""me"", ""find"", ""gate"", ""a3""]","[""help"", ""find"", ""gate"", ""a3""]",A3,,,,,,val
Q010,baggage_claim,text,How do I get to baggage claim?,How do I get to baggage claim?,how do i get to baggage claim,"[""how"", ""do"", ""i"", ""get"", ""to"", ""baggage"", ""claim""]","[""how"", ""get"", ""baggage"", ""claim""]",,,Baggage Claim,,,,train
Q011,baggage_claim,text,Where can I collect my luggage?,Where can I collect my luggage?,where can i collect my luggage,"[""where"", ""can"", ""i"", ""collect"", ""my"", ""luggage""]","[""where"", ""collect"", ""luggage""]",,,,,,,val
Q012,baggage_claim,text,Which carousel is for the flight from London?,Which carousel is for the flight from London?,which carousel is for the flight from london,"[""which"", ""carousel"", ""is"", ""for"", ""the"", ""flight"", ""from"", ""london""]","[""carousel"", ""flight"", ""london""]",,,,,,,train
