query_id,intent,original_text,audio_file,whisper_transcription
Q002,gate,How can I get to gate A7?,gate_Q002.wav,How can I get to gate A7?
Q003,gate,Which terminal has gate C15?,gate_Q003.wav,which terminal has gate C15.
Q007,gate,How do I reach gate D10?,gate_Q007.wav,How do I reach gate D10?
Q008,gate,Where is my departure gate B6?,gate_Q008.wav,Where is my departure gate B6?
Q010,baggage_claim,How do I get to baggage claim?,baggage_claim_Q010.wav,How do I get to baggage claim?
Q011,baggage_claim,Where can I collect my luggage?,baggage_claim_Q011.wav,Where can I collect my luggage?
Q015,baggage_claim,How do I find baggage belt 4?,baggage_claim_Q015.wav,How do I find baggage belt 4?
Q017,baggage_claim,Where do I pick up my bags?,baggage_claim_Q017.wav,Where do I pick up my bags?
Q019,check_in,Where is the check in desk for international flights?,check_in_Q019.wav,Where is the check-in desk for international flights?
Q020,check_in,How do I find the Lufthansa check-in?,check_in_Q020.wav,How do I find the Luftanzer check-in?
Q022,check_in,Where do I drop my bags for check-in?,check_in_Q022.wav,Where do I drop my bags for check-in?
Q024,check_in,Can you direct me to the check-in area?,check_in_Q024.wav,Can you direct me to the check in area?
Q030,lounge,How do I get to the VIP lounge?,lounge_Q030.wav,How do I get to the VIP lounge?
Q033,lounge,Can you direct me to the premium lounge?,lounge_Q033.wav,Can you direct me to the premium lounge?
Q035,lounge,Are there any lounges in concourse C?,lounge_Q035.wav,Are there any lounges in Concourse C?
Q036,lounge,How much does it cost to enter the lounge?,lounge_Q036.wav,How much does it cost to enter the lounge?
Q038,transport,How do I get to the taxi rank?,transport_Q038.wav,How do I get to the taxi rank?
Q042,transport,Where is the pickup zone for Uber?,transport_Q042.wav,Where is the pickup zone for Uber?
Q044,transport,Is the bus stop outside terminal 1?,transport_Q044.wav,Is the bus stop outside terminal 1?
Q045,transport,Where can I catch a taxi?,transport_Q045.wav,Where can I catch a taxi?
Q047,information_desk,"I need help, where is the customer service counter?",information_desk_Q047.wav,I need help. Where is the customer service counter?
Q050,information_desk,Can you show me to the tourist information center?,information_desk_Q050.wav,Can you show me to the Taurus Information Center?
Q051,information_desk,Where is the airport assistance desk?,information_desk_Q051.wav,Where is the airport assistance desk?
Q054,information_desk,Where is the central information point?,information_desk_Q054.wav,Where is the central information point?
Q055,flight_delay,Is my flight delayed?,flight_delay_Q055.wav,Is my flight delayed?
Q057,flight_delay,When is the new departure time for my delayed flight?,flight_delay_Q057.wav,When is the new departure time for my delayed flight?
Q061,flight_delay,Has the boarding time changed due to the delay?,flight_delay_Q061.wav,Has the boarding time changed due to the delay?
Q063,flight_delay,Is the flight to Paris cancelled or delayed?,flight_delay_Q063.wav,is the flight to Paris cancelled or delayed.
Q064,security,Where is the security checkpoint?,security_Q064.wav,Where is the security checkpoint?
Q066,security,Is there a fast track security lane?,security_Q066.wav,Is there a fast track security lane?
Q069,security,Do I need to take my laptop out at security?,security_Q069.wav,Do I need to take my laptop out at security?
Q070,security,Where is the security control for terminal 2?,security_Q070.wav,Where is the security control for Terminal 2?
