query_id,true_intent,predicted_intent,correct
Q002,gate,gate,True
Q003,gate,gate,True
Q007,gate,gate,True
Q008,gate,gate,True
Q010,baggage_claim,baggage_claim,True
Q011,baggage_claim,baggage_claim,True
Q015,baggage_claim,baggage_claim,True
Q017,baggage_claim,baggage_claim,True
Q019,check_in,check_in,True
Q020,check_in,intent_uncertain,False
Q022,check_in,check_in,True
Q024,check_in,check_in,True
Q030,lounge,lounge,True
Q033,lounge,lounge,True
Q035,lounge,lounge,True
Q036,lounge,lounge,True
Q038,transport,transport,True
Q042,transport,intent_uncertain,False
Q044,transport,intent_uncertain,False
Q045,transport,transport,True
Q047,information_desk,opening_hours,False
Q050,information_desk,intent_uncertain,False
Q051,information_desk,information_desk,True
Q054,information_desk,intent_uncertain,False
Q055,flight_delay,flight_delay,True
Q057,flight_delay,flight_delay,True
Q061,flight_delay,flight_delay,True
Q063,flight_delay,flight_delay,True
Q064,security,security,True
Q066,security,intent_uncertain,False
Q069,security,intent_uncertain,False
Q070,security,intent_uncertain,False
