record_id,name,category,clip_text
KB001,Gate B12,gate,"Airport location: Gate B12. Category: gate. Terminal: Terminal 2. Zone: Level 1 - Zone B. Description: Departure gate B12 for Nova International Airport domestic and short-haul flights.. Facilities: Restroom Terminal 2, Airport Lounge."
KB002,Gate A7,gate,"Airport location: Gate A7. Category: gate. Terminal: Terminal 1. Zone: Level 2 - Zone A. Description: Departure gate A7 for long-haul international flights.. Facilities: Restroom Terminal 1, Restaurant Area."
KB003,Terminal 1 Check-in Area,check_in,"Airport location: Terminal 1 Check-in Area. Category: check_in. Terminal: Terminal 1. Zone: Ground Floor - Main Hall. Description: Standard and self-service check-in desks for Terminal 1 airlines.. Facilities: Information Desk, Oversized Baggage Service."
KB004,Terminal 2 Check-in Area,check_in,Airport location: Terminal 2 Check-in Area. Category: check_in. Terminal: Terminal 2. Zone: Ground Floor - East Wing. Description: Check-in area primarily serving budget and regional airlines.. Facilities: Special Assistance Desk.
KB005,Baggage Claim Hall,baggage_claim,"Airport location: Baggage Claim Hall. Category: baggage_claim. Terminal: Terminal 1. Zone: Ground Floor - Arrivals. Description: Main luggage collection area featuring carousels 1 through 8.. Facilities: Lost and Found Office, Customs Area."
KB006,Oversized Baggage Service,baggage_claim,"Airport location: Oversized Baggage Service. Category: baggage_claim. Terminal: Terminal 1. Zone: Ground Floor - Main Hall. Description: Drop-off and collection point for sports equipment, pets, and oversized luggage.. Facilities: Terminal 1 Check-in Area."
KB007,Security Control Terminal 1,security,Airport location: Security Control Terminal 1. Category: security. Terminal: Terminal 1. Zone: Level 1 - Central. Description: Main security screening point for Terminal 1 departures.. Facilities: Terminal 1 Check-in Area.
KB008,Security Control Terminal 2,security,Airport location: Security Control Terminal 2. Category: security. Terminal: Terminal 2. Zone: Ground Floor - Central. Description: Security screening point for Terminal 2 regional departures.. Facilities: Terminal 2 Check-in Area.
KB009,Information Desk,information_desk,"Airport location: Information Desk. Category: information_desk. Terminal: Terminal 1. Zone: Ground Floor - Main Hall. Description: Central customer service and general airport inquiries desk.. Facilities: Special Assistance Desk, Terminal 1 Check-in Area."
KB010,Lost and Found Office,lost_and_found,"Airport location: Lost and Found Office. Category: lost_and_found. Terminal: Terminal 1. Zone: Ground Floor - Arrivals. Description: Office for reporting and collecting misplaced items within the airport.. Facilities: Baggage Claim Hall, Information Desk."
KB011,Airport Lounge,lounge,"Airport location: Airport Lounge. Category: lounge. Terminal: Terminal 1. Zone: Level 2 - Zone A. Description: Premium waiting area with complimentary food, Wi-Fi, and seating.. Facilities: Gate A7, Restroom Terminal 1."
KB012,Prayer Room,prayer_room,Airport location: Prayer Room. Category: prayer_room. Terminal: Terminal 2. Zone: Level 1 - Quiet Zone. Description: Multi-faith prayer and meditation room for passenger use.. Facilities: Gate B12.
KB013,Restroom Terminal 1,restroom,Airport location: Restroom Terminal 1. Category: restroom. Terminal: Terminal 1. Zone: Level 1 - Central. Description: Public restrooms including baby changing facilities.. Facilities: Security Control Terminal 1.
KB014,Restroom Terminal 2,restroom,Airport location: Restroom Terminal 2. Category: restroom. Terminal: Terminal 2. Zone: Level 1 - Zone B. Description: Public restrooms near the departure gates.. Facilities: Gate B12.
KB015,Train Station Connection,transport,Airport location: Train Station Connection. Category: transport. Terminal: Terminal 1. Zone: Basement Level. Description: Direct connection to the city metro and regional rail networks.. Facilities: Information Desk.
KB016,Taxi Pickup Zone,transport,Airport location: Taxi Pickup Zone. Category: transport. Terminal: Terminal 1. Zone: Exterior - Arrivals Level. Description: Official airport taxi rank and ride-share pickup zone.. Facilities: Baggage Claim Hall.
KB017,Restaurant Area,restaurant,"Airport location: Restaurant Area. Category: restaurant. Terminal: Terminal 1. Zone: Level 2 - Food Court. Description: Food court featuring multiple cafes, fast food, and dining options.. Facilities: Airport Lounge."
KB018,Special Assistance Desk,special_assistance,"Airport location: Special Assistance Desk. Category: special_assistance. Terminal: Terminal 1. Zone: Ground Floor - Main Hall. Description: Support desk for passengers requiring mobility assistance or other aid.. Facilities: Information Desk, Terminal 1 Check-in Area."
KB019,Passport Control,passport_control,Airport location: Passport Control. Category: passport_control. Terminal: Terminal 1. Zone: Ground Floor - Arrivals Corridor. Description: Immigration and border control for arriving international passengers.. Facilities: Baggage Claim Hall.
KB020,Customs Area,customs,"Airport location: Customs Area. Category: customs. Terminal: Terminal 1. Zone: Ground Floor - Exits. Description: Customs declaration point (Red/Green channels) before exiting.. Facilities: Baggage Claim Hall, Taxi Pickup Zone."
