image_id,filename,true_category,retrieved_record_id,retrieved_name,retrieved_category,similarity_score,top1_correct,top3_correct
IMG_113,restroom_113.png,restroom,KB020,Customs Area,customs,0.23482339084148407,False,False
IMG_203,restaurant_203.png,restaurant,KB020,Customs Area,customs,0.23068243265151978,False,False
IMG_086,security_086.png,security,KB020,Customs Area,customs,0.22657500207424164,False,False
IMG_117,restroom_117.png,restroom,KB020,Customs Area,customs,0.23824460804462433,False,False
IMG_140,lounge_140.png,lounge,KB020,Customs Area,customs,0.2384849339723587,False,False
IMG_067,check_in_067.png,check_in,KB007,Security Control Terminal 1,security,0.20052358508110046,False,False
IMG_015,gate_015.png,gate,KB001,Gate B12,gate,0.31768280267715454,True,True
IMG_021,gate_021.png,gate,KB002,Gate A7,gate,0.23188063502311707,True,True
IMG_224,restaurant_224.png,restaurant,KB020,Customs Area,customs,0.23039066791534424,False,False
IMG_223,restaurant_223.png,restaurant,KB020,Customs Area,customs,0.22289913892745972,False,False
IMG_134,lounge_134.png,lounge,KB020,Customs Area,customs,0.221247598528862,False,False
IMG_110,restroom_110.png,restroom,KB020,Customs Area,customs,0.21381884813308716,False,False
IMG_036,baggage_claim_036.png,baggage_claim,KB020,Customs Area,customs,0.2351132333278656,False,False
IMG_174,transport_174.png,transport,KB020,Customs Area,customs,0.23300489783287048,False,False
IMG_205,restaurant_205.png,restaurant,KB020,Customs Area,customs,0.22366644442081451,False,False
IMG_138,lounge_138.png,lounge,KB020,Customs Area,customs,0.23439480364322662,False,False
IMG_033,baggage_claim_033.png,baggage_claim,KB020,Customs Area,customs,0.23896007239818573,False,False
IMG_020,gate_020.png,gate,KB016,Taxi Pickup Zone,transport,0.2372722327709198,False,True
IMG_072,check_in_072.png,check_in,KB001,Gate B12,gate,0.2343711405992508,False,False
IMG_081,security_081.png,security,KB020,Customs Area,customs,0.23167243599891663,False,False
IMG_087,security_087.png,security,KB007,Security Control Terminal 1,security,0.22859114408493042,True,True
IMG_185,information_desk_185.png,information_desk,KB020,Customs Area,customs,0.22929620742797852,False,False
IMG_187,information_desk_187.png,information_desk,KB016,Taxi Pickup Zone,transport,0.22896525263786316,False,False
IMG_062,check_in_062.png,check_in,KB016,Taxi Pickup Zone,transport,0.22649770975112915,False,False
IMG_177,information_desk_177.png,information_desk,KB020,Customs Area,customs,0.21271675825119019,False,False
IMG_002,gate_002.png,gate,KB002,Gate A7,gate,0.26339367032051086,True,True
IMG_179,information_desk_179.png,information_desk,KB020,Customs Area,customs,0.2223348319530487,False,False
IMG_193,information_desk_193.png,information_desk,KB020,Customs Area,customs,0.21867311000823975,False,False
IMG_099,security_099.png,security,KB007,Security Control Terminal 1,security,0.25074318051338196,True,True
IMG_126,lounge_126.png,lounge,KB020,Customs Area,customs,0.24025723338127136,False,False
IMG_040,baggage_claim_040.png,baggage_claim,KB020,Customs Area,customs,0.2500019669532776,False,False
IMG_167,transport_167.png,transport,KB001,Gate B12,gate,0.23049159348011017,False,False
IMG_216,restaurant_216.png,restaurant,KB020,Customs Area,customs,0.2295178771018982,False,False
IMG_107,restroom_107.png,restroom,KB020,Customs Area,customs,0.22621619701385498,False,False
IMG_159,transport_159.png,transport,KB020,Customs Area,customs,0.23930953443050385,False,False
IMG_045,baggage_claim_045.png,baggage_claim,KB001,Gate B12,gate,0.23210516571998596,False,True
IMG_032,baggage_claim_032.png,baggage_claim,KB020,Customs Area,customs,0.2255629301071167,False,False
IMG_075,check_in_075.png,check_in,KB020,Customs Area,customs,0.2275683581829071,False,False
IMG_119,restroom_119.png,restroom,KB020,Customs Area,customs,0.22653943300247192,False,False
IMG_095,security_095.png,security,KB020,Customs Area,customs,0.2353479564189911,False,True
IMG_009,gate_009.png,gate,KB001,Gate B12,gate,0.2459663450717926,True,True
IMG_060,check_in_060.png,check_in,KB020,Customs Area,customs,0.2275683581829071,False,False
IMG_170,transport_170.png,transport,KB001,Gate B12,gate,0.22841130197048187,False,False
IMG_172,transport_172.png,transport,KB020,Customs Area,customs,0.2567977011203766,False,True
IMG_132,lounge_132.png,lounge,KB020,Customs Area,customs,0.2283613681793213,False,False
