query_id,intent,modality
Q002,gate,text
Q003,gate,text
Q004,gate,text
Q005,gate,text
Q006,gate,text
Q007,gate,text
Q008,gate,text
Q010,baggage_claim,text
Q012,baggage_claim,text
Q013,baggage_claim,text
Q014,baggage_claim,text
Q015,baggage_claim,text
Q017,baggage_claim,text
Q018,baggage_claim,text
Q019,check_in,text
Q020,check_in,text
Q021,check_in,text
Q022,check_in,text
Q023,check_in,text
Q024,check_in,text
Q025,check_in,text
Q027,check_in,text
Q028,lounge,text
Q029,lounge,text
Q030,lounge,text
Q031,lounge,text
Q033,lounge,text
Q035,lounge,text
Q036,lounge,text
Q037,transport,text
Q038,transport,text
Q039,transport,text
Q041,transport,text
Q042,transport,text
Q044,transport,text
Q045,transport,text
Q046,information_desk,text
Q047,information_desk,text
Q050,information_desk,text
Q051,information_desk,text
Q052,information_desk,text
Q053,information_desk,text
Q054,information_desk,text
Q055,flight_delay,text
Q057,flight_delay,text
Q058,flight_delay,text
Q059,flight_delay,text
Q060,flight_delay,text
Q061,flight_delay,text
Q063,flight_delay,text
Q064,security,text
Q066,security,text
Q067,security,text
Q068,security,text
Q069,security,text
Q070,security,text
Q071,security,text
Q002,gate,voice
Q003,gate,voice
Q007,gate,voice
Q008,gate,voice
Q010,baggage_claim,voice
Q015,baggage_claim,voice
Q017,baggage_claim,voice
Q019,check_in,voice
Q020,check_in,voice
Q022,check_in,voice
Q024,check_in,voice
Q030,lounge,voice
Q033,lounge,voice
Q035,lounge,voice
Q036,lounge,voice
Q038,transport,voice
Q042,transport,voice
Q044,transport,voice
Q045,transport,voice
Q047,information_desk,voice
Q050,information_desk,voice
Q051,information_desk,voice
Q054,information_desk,voice
Q055,flight_delay,voice
Q057,flight_delay,voice
Q061,flight_delay,voice
Q063,flight_delay,voice
Q064,security,voice
Q066,security,voice
Q069,security,voice
Q070,security,voice
